feature	gini	pct
af_plddt_mean	435.732863839469	16.6195890972524
local_entropy	326.491411350944	12.4529351599098
phylop100_mean	298.409871849076	11.3818577028942
af_rsa_mean	264.333246594683	10.0821175259455
contact_density	182.211772231952	6.94986546686747
dist_to_splice	150.357653298647	5.73489544357913
wcn_mean	122.104109909935	4.6572574671267
low_plddt_region	117.217584254232	4.47087710601423
gerp_mean	99.5890712093045	3.79849577443263
hbond_density	74.7542058586745	2.85125196597589
mis_z	57.9698849290757	2.21106955084111
indel_size_relative	55.7705607189489	2.1271836021388
cds_length	54.1397039502013	2.06497996403304
loeuf	50.0695672573553	1.90973806006301
pli	41.139542042038	1.56913178033711
ss_element_frac_affected	33.3694552677715	1.27276751646125
indel_size_aa	25.1762640064809	0.96026533115898
hydrophobic_exposure_risk	23.4728662459948	0.895294856820626
subcell_Secreted	23.2085520744262	0.885213466848469
n_domains	22.721356488737	0.86663100241647
subcell_Nucleus	22.4422704305532	0.855986187680865
bridging_contacts	20.5825980513204	0.785055134819667
subcell_Membrane	19.9277103093869	0.760076607655436
local_ss_class	19.7688929679303	0.75401904538375
af_helix_frac	11.0519513090129	0.421540133237012
indel_type	10.2181604106451	0.389737936813731
ptm_count_near	10.1377149389632	0.386669610334276
in_domain	8.18618129694858	0.3122348133948
subcell_Cytoplasm	7.63151387191668	0.291078858784368
ss_element_break	7.28312195402038	0.277790601228533
af_sheet_frac	7.20703059351581	0.274888347920638
ptm_nearby	6.08729525659593	0.232179746523664
helix_register_preserved	3.01726762265739	0.115083695186884
subcell_Unknown	2.51666122814864	0.0959897198027881
disulfide_nearby	2.40638291988044	0.091783518430672
subcell_Other	2.30855048366789	0.0880520236888966
in_repeat	2.1537177718262	0.0821464419364716
subcell_Mitochondrion	0.527914370643316	0.0201355478246848
in_active_site	0.108390265801294	0.00413418823608204
