feature	group	mean_abs_shap
af_plddt_mean	Structure	0.103696788914199
local_entropy	SeqContext	0.0795814679195141
phylop100_mean	Conservation	0.0696361512908125
af_rsa_mean	Structure	0.0360413621867882
contact_density	Structure	0.0322228718678816
dist_to_splice	SeqContext	0.031839014236902
low_plddt_region	Structure	0.0279031421791951
gerp_mean	Conservation	0.0210379337509491
wcn_mean	Structure	0.0210228600987092
indel_size_relative	SeqContext	0.013465710516325
mis_z	Constraint	0.0103729282460137
indel_size_aa	SeqContext	0.00875002581624905
subcell_Membrane	Annotation	0.00845008769931663
pli	Constraint	0.00729758883826879
loeuf	Constraint	0.00682654252088079
subcell_Nucleus	Annotation	0.00669676822323462
cds_length	Constraint	0.00638308466211086
subcell_Secreted	Annotation	0.00624965432801822
hbond_density	Structure	0.00599309927866363
ss_element_frac_affected	Structure	0.00491164217919514
hydrophobic_exposure_risk	Structure	0.00439100284738041
n_domains	Annotation	0.00424716476841306
indel_type	SeqContext	0.00309169343204252
af_helix_frac	Structure	0.00270097513287775
subcell_Cytoplasm	Annotation	0.00238899088838269
bridging_contacts	Structure	0.00238847114654518
in_domain	Annotation	0.00199951423690205
local_ss_class	Structure	0.00175703321943812
ptm_count_near	Annotation	0.00141102999240699
ptm_nearby	Annotation	0.00121099620349279
ss_element_break	Structure	0.00120158466211086
af_sheet_frac	Structure	0.00109154764616553
disulfide_nearby	Annotation	0.000670473993925588
subcell_Unknown	Annotation	0.000477183940774487
helix_register_preserved	Structure	0.000396373766135156
in_repeat	Annotation	0.000259288724373576
subcell_Other	Annotation	0.000235729878511769
subcell_Mitochondrion	Annotation	4.22452543659833e-05
in_active_site	Annotation	1.0080106302202e-05
