subset	evidence	target	raw_cutoff	iso_cutoff	reachable
del	PP3_Supporting	2.39	0.71		TRUE
del	BP4_Supporting	0.4184	0.315		TRUE
del	PP3_Moderate	5.69	0.865		TRUE
del	BP4_Moderate	0.1757	0.26		TRUE
del	PP3_Moderate3	13.59	0.925		TRUE
del	BP4_Moderate3	0.0736	0.145		TRUE
del	PP3_Strong	32.42	0.995		TRUE
del	BP4_Strong	0.0308	0.075		TRUE
ins	PP3_Supporting	3.25	0.725		TRUE
ins	BP4_Supporting	0.3077	0.2		TRUE
ins	PP3_Moderate	10.55	0.895		TRUE
ins	BP4_Moderate	0.0948	0.07		TRUE
ins	PP3_Moderate3	34.28	0.94		TRUE
ins	BP4_Moderate3	0.0292	0.03		TRUE
ins	PP3_Strong	111.34			FALSE
ins	BP4_Strong	0.009			FALSE
pooled	PP3_Supporting	2.08	0.675		TRUE
pooled	BP4_Supporting	0.4808	0.33		TRUE
pooled	PP3_Moderate	4.33	0.745		TRUE
pooled	BP4_Moderate	0.2309	0.265		TRUE
pooled	PP3_Moderate3	9	0.89		TRUE
pooled	BP4_Moderate3	0.1111	0.195		TRUE
pooled	PP3_Strong	18.7	0.93		TRUE
pooled	BP4_Strong	0.0535	0.115		TRUE
